measure_date,precipitation,temperature,humidity,precipitation_type,loc_id
2019-01-01 00:00:00,0.0,-3.0,70.0,0.0,1
2019-01-01 01:00:00,0.0,-2.0,71.0,3.0,1
2019-01-01 02:00:00,0.0,-0.7,70.0,3.0,1
2019-01-01 03:00:00,0.0,-1.1,80.0,3.0,1
2019-01-01 04:00:00,0.0,-2.1,91.0,3.0,1
2019-01-01 05:00:00,0.0,-0.2,64.0,0.0,1
2019-01-01 06:00:00,0.0,-0.5,58.0,0.0,1
2019-01-01 07:00:00,0.0,-1.1,60.0,0.0,1
2019-01-01 08:00:00,0.0,-1.7,59.0,0.0,1
2019-01-01 09:00:00,0.0,-1.9,62.0,0.0,1
2019-01-01 10:00:00,0.0,-2.3,60.0,0.0,1
2019-01-01 11:00:00,0.0,-2.8,58.0,0.0,1
2019-01-01 12:00:00,0.0,-3.1,59.0,0.0,1
2019-01-01 13:00:00,0.0,-3.7,60.0,0.0,1
2019-01-01 14:00:00,0.0,-4.1,67.0,0.0,1
2019-01-01 15:00:00,0.0,-5.8,68.0,0.0,1
2019-01-01 16:00:00,0.0,-6.6,79.0,0.0,1
2019-01-01 17:00:00,0.0,-7.665298848418464,85.0,0.0,1
2019-01-01 18:00:00,0.0,-7.665298848418464,85.0,0.0,1
2019-01-01 19:00:00,0.0,-7.665298848418464,87.0,0.0,1
2019-01-01 20:00:00,0.0,-7.665298848418464,87.0,0.0,1
2019-01-01 21:00:00,0.0,-7.665298848418464,85.0,0.0,1
2019-01-01 22:00:00,0.0,-7.665298848418464,83.0,0.0,1
2019-01-01 23:00:00,0.0,-5.7,78.0,0.0,1
2019-01-02 00:00:00,0.0,-2.7,78.0,0.0,1
2019-01-02 01:00:00,0.0,-0.6,64.0,0.0,1
2019-01-02 02:00:00,0.0,0.0,51.0,0.0,1
2019-01-02 03:00:00,0.0,0.0,49.0,0.0,1
2019-01-02 04:00:00,0.0,0.6,41.0,0.0,1
2019-01-02 05:00:00,0.0,0.0,39.0,0.0,1
2019-01-02 06:00:00,0.0,-0.5,46.0,0.0,1
2019-01-02 07:00:00,0.0,-2.1,53.0,0.0,1
2019-01-02 08:00:00,0.0,-4.1,62.0,0.0,1
2019-01-02 09:00:00,0.0,-4.7,66.0,0.0,1
2019-01-02 10:00:00,0.0,-4.9,67.0,0.0,1
2019-01-02 11:00:00,0.0,-5.5,69.0,0.0,1
2019-01-02 12:00:00,0.0,-6.3,76.0,0.0,1
2019-01-02 13:00:00,0.0,-5.8,77.0,0.0,1
2019-01-02 14:00:00,0.0,-6.7,84.0,0.0,1
2019-01-02 15:00:00,0.0,-6.2,85.0,0.0,1
2019-01-02 16:00:00,0.0,-6.6,82.0,0.0,1
2019-01-02 17:00:00,0.0,-6.2,84.0,0.0,1
2019-01-02 18:00:00,0.0,-7.5,83.0,0.0,1
2019-01-02 19:00:00,0.0,-7.665298848418464,86.0,0.0,1
2019-01-02 20:00:00,0.0,-7.665298848418464,85.0,0.0,1
2019-01-02 21:00:00,0.0,-7.665298848418464,88.0,0.0,1
2019-01-02 22:00:00,0.0,-7.665298848418464,89.0,0.0,1
2019-01-02 23:00:00,0.0,-5.7,82.0,0.0,1
2019-01-03 00:00:00,0.0,-2.5,77.0,0.0,1
2019-01-03 01:00:00,0.0,-0.5,48.0,0.0,1
2019-01-03 02:00:00,0.0,0.7,47.0,0.0,1
2019-01-03 03:00:00,0.0,1.3,44.0,0.0,1
2019-01-03 04:00:00,0.0,1.5,44.0,0.0,1
2019-01-03 05:00:00,0.0,1.6,39.0,0.0,1
2019-01-03 06:00:00,0.0,1.2,40.0,0.0,1
2019-01-03 07:00:00,0.0,-1.2,49.0,0.0,1
2019-01-03 08:00:00,0.0,-2.8,56.0,0.0,1
2019-01-03 09:00:00,0.0,-3.6,57.0,0.0,1
2019-01-03 10:00:00,0.0,-4.4,61.0,0.0,1
2019-01-03 11:00:00,0.0,-4.4,62.0,0.0,1
2019-01-03 12:00:00,0.0,-4.5,64.0,0.0,1
2019-01-03 13:00:00,0.0,-4.3,67.0,0.0,1
2019-01-03 14:00:00,0.0,-5.1,72.0,0.0,1
2019-01-03 15:00:00,0.0,-6.4,77.0,0.0,1
2019-01-03 16:00:00,0.0,-6.9,84.0,0.0,1
2019-01-03 17:00:00,0.0,-6.8,87.0,0.0,1
2019-01-03 18:00:00,0.0,-6.0,85.0,0.0,1
2019-01-03 19:00:00,0.0,-7.2,85.0,0.0,1
2019-01-03 20:00:00,0.0,-7.2,87.0,0.0,1
